         172625 function calls (167391 primitive calls) in 0.755 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5293    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.001    0.001    0.006    0.006 inspect.py:27(<module>)
        2    0.001    0.000    0.001    0.000 {built-in method _ctypes.LoadLibrary}
       23    0.001    0.000    0.429    0.019 __init__.py:1(<module>)
     1396    0.001    0.000    0.002    0.000 typing.py:590(_is_dunder)
        1    0.001    0.001    0.001    0.001 datetimes.py:113(DatetimeArray)
     2494    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      615    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
     1249    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      920    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      921    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      307    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      273    0.001    0.000    0.004    0.000 function_base.py:441(add_newdoc)
      404    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
     1151    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
  318/295    0.001    0.000    0.011    0.000 typing.py:248(inner)
      305    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      394    0.001    0.000    0.001    0.000 {built-in method builtins.any}
   152/53    0.001    0.000    0.013    0.000 sre_parse.py:417(_parse_sub)
       24    0.001    0.000    0.001    0.000 generic.py:6(create_pandas_abc_type)
     1151    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
     2494    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
   366/38    0.001    0.000    0.454    0.012 {built-in method builtins.__import__}
      398    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:147(__enter__)
      374    0.001    0.000    0.136    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
