Waiting for CPU move...
Generation of this next move took 7.78 seconds, ran 10000 iterations.
   a b c d e 
 -----------------------
0 |- - - -          5162201 function calls (4314156 primitive calls) in 9.479 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      594    0.005    0.000    0.026    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     6533    0.005    0.000    0.007    0.000 sre_parse.py:164(__getitem__)
    614/7    0.005    0.000    1.655    0.236 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
     2482    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
      866    0.005    0.000    0.008    0.000 functools.py:37(update_wrapper)
 1182/397    0.005    0.000    0.005    0.000 sre_parse.py:174(getwidth)
      588    0.005    0.000    0.213    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      641    0.004    0.000    0.034    0.000 inspect.py:2198(_signature_from_callable)
     2391    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
     1288    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:103(release)
     2246    0.004    0.000    0.085    0.000 inspect.py:594(getdoc)
        7    0.004    0.001    0.016    0.002 <frozen importlib._bootstrap_external>:105(_write_atomic)
3008/1765    0.004    0.000    0.825    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       29    0.004    0.000    0.004    0.000 {built-in method io.open}
     5546    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     2672    0.004    0.000    0.007    0.000 typing.py:704(__setattr__)
      502    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
     2502    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x59561388}
      256    0.003    0.000    0.005    0.000 sre_compile.py:276(_optimize_charset)
    10701    0.003    0.000    0.006    0.000 mathtext.py:2839(<genexpr>)
    502/9    0.003    0.000    1.646    0.183 <frozen importlib._bootstrap_external>:722(exec_module)
     2383    0.003    0.000    0.008    0.000 enum.py:284(__call__)
