         577251 function calls (565261 primitive calls) in 0.712 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      410    0.001    0.000    0.003    0.000 copy.py:66(copy)
     1903    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      213    0.001    0.000    0.072    0.000 sre_compile.py:759(compile)
     2615    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
       12    0.001    0.000    0.021    0.002 artist.py:1250(get_aliases)
     1690    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
  637/503    0.001    0.000    0.263    0.001 <frozen importlib._bootstrap>:576(module_from_spec)
      286    0.001    0.000    0.004    0.000 overrides.py:72(verify_matching_signatures)
     1689    0.001    0.000    0.026    0.000 artist.py:1350(is_alias)
      213    0.001    0.000    0.008    0.000 sre_compile.py:536(_compile_info)
      712    0.001    0.000    0.002    0.000 inspect.py:484(unwrap)
        9    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
      576    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      574    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
        2    0.001    0.000    0.002    0.001 decoder.py:343(raw_decode)
        1    0.001    0.001    0.001    0.001 {built-in method torch._C._c10d_init}
     3741    0.001    0.000    0.002    0.000 sre_parse.py:249(match)
  375/285    0.001    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      462    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      233    0.001    0.000    0.001    0.000 pyparsing.py:1400(__init__)
      719    0.001    0.000    0.007    0.000 colors.py:157(to_rgba)
     1153    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     2983    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
     2759    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
      628    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     2368    0.001    0.000    0.001    0.000 enum.py:526(__new__)
      685    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      846    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     1204    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:1647(_parseNoCache)
      316    0.001    0.000    0.021    0.000 overrides.py:166(decorator)
      685    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      628    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     1899    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     1367    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
        1    0.001    0.001    0.001    0.001 version.py:31(Version)
      364    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
     3842    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       12    0.001    0.000    0.001    0.000 artist.py:1261(<listcomp>)
